,Product_Name,Product_Company,Product_Price,Product_Evaluation
0,"ESSENTIAL S3 LS22C310EAUXUF 22"" 5MS 75HZ FULLHD AMD FREESYNC IPS LED MONİTÖR",Samsung,2.249,61
1,"Excalibur M.E238FHD-G 23.8"" 200HZ 1MS 300NIT (HDMI+Display) Curved Freesync + G-Sync FHD LED Monitör",Casper,4.199,1160
2,"HD190 19"" Geniş Ekran 75 Hz 5ms (VGA,HDMI) Led Monitör",Gamepower,6.2352,64
3,"Excalibur M.E238FIF-D 23.8"" 200HZ 1MS 300NIT Fast IPS (HDMI+Display) Freesync + G-Sync FHD Monitör",upTech,1.683,37
4,Intense X40 27'' 1ms 240hz Curved Rgb Gaming Monitör,Casper,3.799,114
5,"L24i-40 23.8"" 4ms 100Hz (HDMI+VGA) AMD FreeSync IPS Panel WLED Monitör 67A8KAC3TK",Gamepower,6.499,23
6,Aryond A27 V1.2 27 Inç Fhd 1920x1080 240 Hz 1 Ms Ince Çerveve Hoparlörlü Curved Oyuncu Monitörü,Samsung,4.299,148
7,"24"" Odyssey G3 Ls24ag320nuxuf 1ms 165 Hz Pivot Freesync Premium Full Hd Va Led Monitör",ASUS,4.449,914
8,Tuf Gaming Vg247q1a 23.8 Inç 165hz 1ms Full Hd Freesync Gaming Monitör,Samsung,4.249,1143
9,19'' Wıde Q19htw Perfect Vıew Led Monitör,HITACHI,1.795,11
10,"Ls43bm700upxuf 43"" 109 Ekran 4k Ultra Hd Led Monitör",Samsung,8.5,121
11,"Ls24c360eauxuf S3 4ms Kavisli (CURVED) Hdmı Vga , Freesync ,va , Gaming Monitör Led Monito",Samsung,3.015,239
12,"Voyager Vy27r165c 27"" Inç 165hz 1ms Freesync Pivot Curved oyuncu monitörü (sıfır Ölü Piksel)",Rampage,4.9648,149
13,24gq50f-b 24 Inc 165hz 1ms Freesync Fhd Va Gaming Monitör,LG,3.699,38
14,24 Samsung Ls24c312eauxuf Ips Fhd 75hz 5ms Hdmı Vg,Samsung,3.4049,26
15,"Excalibur M.E315FHD-G 31.5"" 240HZ 1MS 300NIT (HDMI+Display) Curved Freesync + G-Sync FHD LED Monitör",Casper,7.6198,268
16,G27c4 E3 27 Curved Va 1920x1080 (FHD) 16:9 180hz 1ms Freesync Premıum Gamıng Monıtor,MSI,5.599,3
17,"L22i-40 21.5"" 75Hz 4ms (HDMI-VGA) FHD IPS Wled Monitör 67AEKACBTK",LENOVO,2.869,71
18,"Redmi Rmmnt215nf 21.5"" 75hz 6ms Full Hd Monitör",Xiaomi,2.429,383
19,"Ultragear 24gn60r-b 23,8"" Full Hd Ips 1ms 144hz Gaming Monitör",LG,3.829,42
20,"Excalibur M.E27FHD-G 27"" 200HZ 1MS 300NIT (HDMI+Display) Curved Freesync + G-Sync FHD LED Monitör",Casper,5.3368,220
21,"27"" Ls27c366eauxuf 5ms Full Hd Freesync Led Kavisli Monitör",Samsung,3.9096,43
