,Product_Name,Product_Company,Product_Price,Product_Evaluation
0,"ESSENTIAL S3 LS22C310EAUXUF 22"" 5MS 75HZ FULLHD AMD FREESYNC IPS LED MONİTÖR",Samsung,2.249,62
1,"Excalibur M.E238FHD-G 23.8"" 200HZ 1MS 300NIT (HDMI+Display) Curved Freesync + G-Sync FHD LED Monitör",Casper,4.209,1160
2,Aryond A27 V1.2 27 Inç Fhd 1920x1080 240 Hz 1 Ms Ince Çerveve Hoparlörlü Curved Oyuncu Monitörü,Monster,6.499,148
3,"L24i-40 23.8"" 4ms 100Hz (HDMI+VGA) AMD FreeSync IPS Panel WLED Monitör 67A8KAC3TK",LENOVO,3.099,23
4,"24"" Odyssey G3 Ls24ag320nuxuf 1ms 165 Hz Pivot Freesync Premium Full Hd Va Led Monitör",Samsung,4.399,914
5,"Excalibur M.E238FIF-D 23.8"" 200HZ 1MS 300NIT Fast IPS (HDMI+Display) Freesync + G-Sync FHD Monitör",Casper,3.799,37
6,"HD190 19"" Geniş Ekran 75 Hz 5ms (VGA,HDMI) Led Monitör",upTech,1.683,64
7,Tuf Gaming Vg247q1a 23.8 Inç 165hz 1ms Full Hd Freesync Gaming Monitör,ASUS,4.449,1143
8,"Aryond A24 V1.1 24"" 144 Hz 1 MS Hoparlörlü Full HD Fast IPS Oyuncu Monitörü",Monster,4.699,79
9,"Ls24c360eauxuf S3 4ms Kavisli (CURVED) Hdmı Vga , Freesync ,va , Gaming Monitör Led Monito",Samsung,3.015,239
10,24gq50f-b 24 Inc 165hz 1ms Freesync Fhd Va Gaming Monitör,LG,3.699,39
11,Kg272s Zeroframe 27” 165hz 2ms (2xhdmı+display) Freesync Premium Fhd Ips Monitör Um.hx2ee.s01,ACER,7.1432,51
12,"Ultragear 24gn60r-b 23,8"" Full Hd Ips 1ms 144hz Gaming Monitör",LG,3.829,42
13,Intense X40 27'' 1ms 240hz Curved Rgb Gaming Monitör,Gamepower,7.1384,114
14,19'' Wıde Q19htw Perfect Vıew Led Monitör,HITACHI,1.795,11
15,"Excalibur M.E315FHD-G 31.5"" 240HZ 1MS 300NIT (HDMI+Display) Curved Freesync + G-Sync FHD LED Monitör",Casper,7.599,268
16,"Redmi Rmmnt215nf 21.5"" 75hz 6ms Full Hd Monitör",Xiaomi,2.429,384
17,"Ls43bm700upxuf 43"" 109 Ekran 4k Ultra Hd Led Monitör",Samsung,8.5,122
18,"Voyager Vy27r165c 27"" Inç 165hz 1ms Freesync Pivot Curved oyuncu monitörü (sıfır Ölü Piksel)",Rampage,4.9648,149
19,"L22i-40 21.5"" 75Hz 4ms (HDMI-VGA) FHD IPS Wled Monitör 67AEKACBTK",LENOVO,2.869,71
20,"Excalibur M.E27FHD-G 27"" 200HZ 1MS 300NIT (HDMI+Display) Curved Freesync + G-Sync FHD LED Monitör",Casper,5.3368,220
